"country","genre","count"
"United Kingdom","Documentaries","41"
"Taiwan","International TV Shows, Romantic TV Shows, TV Comedies","31"
"Egypt","Comedies, International Movies","29"
" France","Dramas, Independent Movies, International Movies","26"
"Turkey","Comedies, International Movies","24"
" United States","Documentaries, International Movies","23"
"Philippines","Dramas, International Movies, Romantic Movies","21"
"Hong Kong","Action & Adventure, International Movies","20"
"Indonesia","Dramas, International Movies, Romantic Movies","19"
"Mexico","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","18"
" Canada","Kids' TV","18"
"Nigeria","Dramas, International Movies","18"
"Canada","Children & Family Movies, Comedies","17"
"Spain","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","16"
"France","Dramas, International Movies","16"
" China","Action & Adventure, International Movies","13"
"Colombia","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","12"
" Germany","Dramas, Independent Movies, International Movies","11"
" Japan","Kids' TV","9"
"Argentina","Dramas, International Movies","9"
"China","Action & Adventure, International Movies","9"
"Brazil","Stand-Up Comedy","9"
" United Kingdom","Children & Family Movies, Comedies","8"
"Italy","Documentaries, International Movies","8"
" United Kingdom","Documentaries, International Movies","8"
" United Kingdom","Documentaries","8"
"Germany","Documentaries, International Movies","7"
" Belgium","Dramas, Independent Movies, International Movies","7"
" Belgium","Dramas, International Movies","7"
"Germany","Dramas, Independent Movies, International Movies","7"
"Germany","Crime TV Shows, International TV Shows, TV Dramas","7"
"Singapore","International TV Shows, TV Dramas","6"
" Italy","Documentaries, International Movies","6"
"Australia","Docuseries, International TV Shows, Science & Nature TV","6"
" South Korea","Children & Family Movies, Comedies","6"
"Poland","Crime TV Shows, International TV Shows, TV Dramas","6"
" Hong Kong","Action & Adventure, International Movies","6"
"Thailand","Horror Movies, International Movies","6"
"Thailand","International TV Shows, Romantic TV Shows, TV Dramas","6"
"Denmark","Dramas, Independent Movies, International Movies","5"
" Netherlands","Documentaries, International Movies","5"
"South Africa","Comedies, International Movies, Romantic Movies","5"
"South Africa","Dramas, International Movies","5"
" Mexico","Documentaries, International Movies","5"
"Netherlands","Dramas, International Movies","4"
" Sweden","Dramas, Independent Movies, International Movies","4"
" Switzerland","Dramas, International Movies","4"
"Russia","Kids' TV","4"
"Pakistan","Dramas, Independent Movies, International Movies","4"
" India","Dramas","4"
" Australia","Children & Family Movies, Comedies","4"
"Belgium","Crime TV Shows, International TV Shows, TV Dramas","4"
" Spain","Dramas, International Movies, Thrillers","4"
"Lebanon","Documentaries, International Movies","4"
"Malaysia","Dramas, International Movies","4"
" Australia","Dramas, International Movies","4"
"Russia","Crime TV Shows, International TV Shows, TV Dramas","4"
" South Africa","Documentaries, International Movies","4"
" Spain","Dramas, International Movies","4"
