"director","title_count"
"Raúl Campos, Jan Suter","18"
"Marcus Raboy","16"
"Jay Karas","14"
"Cathy Garcia-Molina","13"
"Jay Chapman","12"
"Youssef Chahine","12"
"Martin Scorsese","12"
"Steven Spielberg","10"
"David Dhawan","9"
"Quentin Tarantino","8"
"Hakan Algül","8"
"Ryan Polito","8"
"Shannon Hartman","8"
"Lance Bangs","8"
"Robert Rodriguez","8"
"Johnnie To","8"
"Kunle Afolayan","8"
"Don Michael Paul","7"
"S.S. Rajamouli","7"
"Yılmaz Erdoğan","7"
"McG","7"
"Omoni Oboli","7"
"Fernando Ayllón","7"
"Justin G. Dyck","7"
"Ozan Açıktan","7"
"Ram Gopal Varma","6"
"Hanung Bramantyo","6"
"Wenn V. Deramas","6"
"Imtiaz Ali","6"
"Steven Soderbergh","6"
"Sameh Abdulaziz","6"
"Vlad Yudin","6"
"Matt Askem","6"
"Anees Bazmee","6"
"Ashutosh Gowariker","6"
"Joey So","6"
"Rajkumar Santoshi","6"
"Robert Vince","6"
"Sooraj R. Barjatya","6"
"Ron Howard","6"
"Noah Baumbach","6"
"Troy Miller","6"
"Kıvanç Baruönü","5"
"Khaled Marei","5"
"Thierry Donard","5"
"David Fincher","5"
"David Batty","5"
"Anurag Kashyap","5"
"Jay Roach","5"
"Umesh Mehra","5"
"Leslie Small","5"
"Niyi Akinmolayan","5"
"Prakash Satam","5"
"Wilson Yip","5"
"Mike Clattenburg","5"
"Vishal Bhardwaj","5"
"Nagesh Kukunoor","5"
"Mahesh Manjrekar","5"
"Detlev Buck","5"
"Rocky Soraya","5"
"Madhur Bhandarkar","5"
"Rohit Shetty","5"
"Kevin Smith","5"
"Rajiv Mehra","5"
"Manny Rodriguez","5"
"Clint Eastwood","5"
"Michael Simon","5"
"Mae Czarina Cruz","5"
"Prakash Jha","5"
"Indra Kumar","5"
"Anurag Basu","5"
"Riri Riza","5"
"Priyadarshan","5"
"Wael Ihsan","4"
"Oliver Stone","4"
"Stan Lathan","4"
"Wong Jing","4"
"Antonio Campos","4"
"William Lau","4"
"Milan Luthria","4"
"Paul Dugdale","4"
"Rakeysh Omprakash Mehra","4"
"Robert Luketic","4"
"Kundan Shah","4"
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","4"
"Farhan Akhtar","4"
"Ahmed Nader Galal","4"
"Hrishikesh Mukherjee","4"
"Spike Lee","4"
"Shaun Paul Piccinino","4"
"Maroun Baghdadi","4"
"Jeremy Saulnier","4"
"Gregory Hoblit","4"
"Rob Minkoff","4"
"Wael Ehsan","4"
"Farah Khan","4"
"Savage Steve Holland","4"
"Hernán Zin","4"
"Rohit Jugraj","4"
"Lucas Margutti","4"
"Steve Brill","4"
"Michael McKay","4"
"Lynn Shelton","4"
"Werner Herzog","4"
"Toshiya Shinohara","4"
"Dan Villegas","4"
"Jun Lana","4"
"Sudhir Mishra","4"
"Antoinette Jadaone","4"
"Subhash Ghai","4"
"Ahmad El-Badri","4"
"Lee Tamahori","4"
"Nishikant Kamat","4"
"Shyam Benegal","4"
"Angga Dwimas Sasongko","4"
"Edward Cotterill","4"
"Paul Thomas Anderson","4"
"Chia-Liang Liu","4"
"Cristina Jacob","4"
"Philippe Aractingi","4"
"Andy Tennant","4"
"Jesse V. Johnson","4"
"Fernando González Molina","4"
"Dibakar Banerjee","4"
"Mike Newell","4"
"Martin Campbell","4"
"Chris Stokes","4"
"Poj Arnon","4"
"Christopher Nolen","3"
"Barry Avrich","3"
"Ernie Barbarash","3"
"David Ayer","3"
"Hasan Karacadağ","3"
"Pankaj Batra","3"
"Olivia M. Lamasan","3"
"Mohamed Samy","3"
"Onir","3"
"Jon Rosenbaum","3"
"Eli Roth","3"
"Amitoj Mann","3"
"Orlando von Einsiedel","3"
"Olivier Assayas","3"
"Rajiv Chilaka","3"
"Shigeaki Kubo","3"
"Sylvester Stallone","3"
"John Huston","3"
"Timothy Woodward Jr.","3"
"Maria Ripoll","3"
"Gabriele Muccino","3"
"Conrad Helten","3"
"Chris Howe","3"
"Steve Carr","3"
"Peter Segal","3"
"Bobcat Goldthwait","3"
"Kobun Shizuno, Hiroyuki Seshita","3"
"John Schultz","3"
"Cosima Spender","3"
"B. V. Nandini Reddy","3"
"Jon M. Chu","3"
"Rob Reiner","3"
"Vikramaditya Motwane","3"
"Diego Pignataro","3"
"Craig Brewer","3"
"Andibachtiar Yusuf","3"
"Raja Gosnell","3"
"Tiller Russell","3"
"Fajar Bustomi, Pidi Baiq","3"
"Vivieno Caldinelli","3"
"Ashwin Saravanan","3"
"David Michôd","3"
"Karan Johar","3"
"Remo D'Souza","3"
"Sean McNamara","3"
"Mahesh Bhatt","3"
"Note Chern-Yim","3"
"Neal Brennan","3"
"Bedran Güzel","3"
"Adrian Teh","3"
"Walter C. Miller","3"
"Tilak Shetty","3"
"Toshiyuki Kubooka","3"
"Mohamed Hamdy","3"
"Michael Tiddes","3"
"David R. Ellis","3"
"Barak Goodman","3"
"John Lee Hancock","3"
"Qaushiq Mukherjee","3"
"Atom Egoyan","3"
"Jeff Baena","3"
"Ron Myrick","3"
"Sujoy Ghosh","3"
"Matías Gueilburt","3"
"Neeraj Pandey","3"
"Michael Dowse","3"
"Munjal Shroff, Tilak Shetty","3"
"Antoine Fuqua","3"
"Sermiyan Midyat","3"
"Latif Faiziyev, Umesh Mehra","3"
"Rano Karno","3"
"Abhinay Deo","3"
"Alfonso Cuarón","3"
"Cheh Chang","3"
"Greg MacGillivray","3"
"Luis Ara","3"
"Tope Oshin","3"
"Nila Madhab Panda","3"
"Marc Forster","3"
"Abhishek Chaubey","3"
"Lekh Tandon","3"
"Jonathan Demme","3"
"Ron Oliver","3"
"Ahmed Al-Badry","3"
"Zoya Akhtar","3"
"Adam Shankman","3"
"Rajkumar Hirani","3"
"Steve Ball","3"
"Brian Levant","3"
"Masahiko Murata","3"
"Burak Aksak","3"
"Charles Stone III","3"
"Noriyuki Abe","3"
"Mike Flanagan","3"
"Jalil Lespert","3"
"Joe Camp","3"
"Alastair Fothergill","3"
"John Fortenberry","3"
"Shirish Kunder","3"
"Theodore Boborol","3"
"Rako Prijanto","3"
"Mikhail Red","3"
"Amr Arafa","3"
"Sumitra Bhave, Sunil Sukthankar","3"
"Raj Kapoor","3"
"Morgan Neville","3"
"Mike Smith, John Paul Tremblay, Robb Wells","3"
"Aziz Mirza","3"
"Scott Zabielski","3"
"Mani Ratnam","3"
"Ava DuVernay","3"
"G.J. Echternkamp","3"
"Tom Hooper","3"
"Momoko Kamiya","3"
"Shawn Levy","3"
"Joe Berlinger","3"
"Frank Coraci","3"
"Abhishek Sharma","3"
"Alex Lehmann","3"
"David Zucker","3"
"Prakash Mehra","3"
"Richard Weston","3"
"Rob Cohen","3"
"Mike Gunther","3"
"Roger Kumble","3"
"Chandrakant Kulkarni","3"
"Linda Mendoza","3"
"Ishaya Bako","3"
"Ketan Mehta","3"
"Leena Yadav","3"
"Raj Kumar Gupta","3"
"Barry Sonnenfeld","3"
"Ishi Rudell","3"
"Kim Nguyen","3"
"Gonzalo López-Gallego","3"
"Vince Marcello","3"
"Obi Emelonye","3"
"Peyton Reed","3"
"Nate Adams, Adam Carolla","3"
"Moses Inwang","3"
"Yasmin Ahmad","3"
"Lilly Wachowski, Lana Wachowski","3"
"Sam Liu","3"
"Dante Lam","3"
"Jeff Nichols","3"
"Ken Ghosh","3"
"Brett Haley","3"
"Terry Gilliam","3"
"John Asher","3"
"David Mackenzie","3"
"Abhishek Kapoor","3"
"Michael Bay","3"
"Satish Rajwade","3"
"Louis C.K.","3"
"Clay Glen","3"
"Renzil D'Silva","2"
"Pratim D. Gupta","2"
"Pang Ho-cheung","2"
"Elaine McMillion Sheldon","2"
"Matthew Vaughn","2"
"Steven C. Miller","2"
"Sameer Vidwans","2"
"Pete Travis","2"
"Tarsem Singh","2"
"Tensai Okamura","2"
"Gregory Caruso","2"
"Ivan Reitman","2"
"Oliver Twinch","2"
"Shlok Sharma","2"
"Leslie Iwerks","2"
"David Paul Meyer","2"
"Brian Oakes","2"
"Alejandro Agresti","2"
"Mahsun Kırmızıgül","2"
"Bille Woodruff","2"
"Esteban Vidal","2"
"Bo Burnham, Christopher Storer","2"
"Shirley Frimpong-Manso","2"
"Shakti Samanta","2"
"Bill D'Elia","2"
"Blair Simmons","2"
"Patricia Rozema","2"
"Álex de la Iglesia","2"
"Ken Burns","2"
"Toka McBaror","2"
"Salvador Calvo","2"
"Manolo Caro","2"
"Patryk Vega","2"
"Adam McKay","2"
"Hannah Fidell","2"
"Tony Scott","2"
"Rajat Kapoor","2"
"Michael Patrick King","2"
"Jerry Seinfeld","2"
"Ron Davis","2"
"Makarand Mane","2"
"Timo Tjahjanto","2"
"Ari Sandel","2"
"Keoni Waxman","2"
"Ali Ragab","2"
"Tosin Coker","2"
"Petra Costa","2"
"Nia Dinata","2"
"Mez Tharatorn","2"
"Stanley Tong","2"
"Scott Hicks","2"
"Stanley Nelson","2"
"Sam Raimi","2"
"Sion Sono","2"
"Asghar Farhadi","2"
"Peter Sullivan","2"
"Vicky Matthews","2"
"Steve Paley","2"
"Mark Steven Johnson","2"
"Bong Joon Ho","2"
"Hajime Kamegaki","2"
"Heidi Ewing, Rachel Grady","2"
"Mikhil Musale","2"
"Alex Proyas","2"
"Soumendra Padhi","2"
"Haifaa Al-Mansour","2"
"Peter Spirer","2"
"Noam Murro","2"
"Andy Fickman","2"
"Satyajit Bhatkal","2"
"Atanu Ghosh","2"
"Edwin","2"
"Kedar Shinde","2"
"Robin Swicord","2"
"Sam Mendes","2"
"Kip Andersen, Keegan Kuhn","2"
"Martin Gorst","2"
"Masaaki Yuasa","2"
"Karthik Subbaraj","2"
"Mateo Gil","2"
"Daniel Stamm","2"
"Mahmoud Karim","2"
"Alessandro Angulo","2"
"Thomas Astruc","2"
"Jeff Tremaine","2"
"Naoko Yamada","2"
"Paul Andrew Williams","2"
"Eduardo Roy Jr.","2"
"Maryo J. De los Reyes","2"
"Estela Renner","2"
"Kyran Kelly","2"
"Liz Garbus","2"
"Jonathan Levine","2"
"Trey Edward Shults","2"
"Davis Guggenheim","2"
"Upi Avianto","2"
"Sachin Yardi","2"
"Tim Burton","2"
"Julien Leclercq","2"
"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar","2"
"Mana Yasuda","2"
"Brad Bird","2"
"Brad Anderson","2"
"Stanisław Różewicz","2"
"V Vignarajan","2"
"Israel Adrián Caetano","2"
"Ben Wheatley","2"
"Stephen Daldry","2"
"Hadi El Bagoury","2"
"Daniel Kontur","2"
"Antonio Serrano","2"
"Kabir Sadanand","2"
"Nicolas Pesce","2"
"Nicholas Kharkongor","2"
"Vipul Amrutlal Shah","2"
"Francesco Imperato","2"
"Ksshitij Chaudhary","2"
"A.R. Murugadoss","2"
"Harald Zwart","2"
"Rian Johnson","2"
"Brian De Palma","2"
"Damien O’Connor","2"
"Michael Showalter","2"
"Seth Barrish","2"
"Ismail Farouk","2"
"Lars von Trier","2"
"Sherif Arafa","2"
"Eli Craig","2"
"Leslie Small, Tim Story","2"
"Daniel Gray Longino","2"
"David M. Rosenthal","2"
"Sze Yu Lau","2"
"Dave Higby","2"
"Aditya Kripalani","2"
"Ruben Fleischer","2"
"Ribhu Dasgupta","2"
"Jeffrey Walker","2"
"Jerrold Tarog","2"
"Chris Bould","2"
"Stanley Kubrick","2"
"Jeff Orlowski","2"
"Phil Weinstein","2"
"Ben Wallis","2"
"Rebecca Zlotowski","2"
"Ashok Nanda","2"
"Les Mayfield","2"
"Rajiv Menon","2"
"Robert Zemeckis","2"
"R. Ellis Frazier","2"
"Bernie Denk","2"
"Daniel Calparsoro","2"
"Jay Chandrasekhar","2"
"Susan Johnson","2"
"Luc Vinciguerra","2"
"Scott L. Montoya","2"
"Will Gluck","2"
"Erwin van den Eshof","2"
"Ryan Coogler","2"
"Thierry Demaizière, Alban Teurlai","2"
"Nick Broomfield","2"
"Derek Cianfrance","2"
"Brian Klein","2"
"Gajendra Ahire","2"
"Charlie Lightening","2"
"Hani Hamdi","2"
"Umesh Shukla","2"
"Bejoy Nambiar","2"
"Christopher Storer","2"
"Amy Schumer","2"
"Jon Lucas, Scott Moore","2"
"Ahmed Zein","2"
"Michael Cuesta","2"
"Rob Seidenglanz","2"
"Stephen Chiodo","2"
"Gillian Robespierre","2"
"Zak Hilditch","2"
"Barry Levinson","2"
"Warren P. Sonoda","2"
"Anthony D'Souza","2"
"Ömer Faruk Sorak","2"
"Jason Paul Laxamana","2"
"Jason Reitman","2"
"Joe DeMaio","2"
"Gerardo Olivares","2"
"Ryan Murphy","2"
"Nagraj Manjule","2"
"David O. Russell","2"
"Paco Plaza","2"
"Osgood Perkins","2"
"Alejandro Fernández Almendras","2"
"John Dahl","2"
"Santosh Sivan","2"
"Peter Hutchings","2"
"Sebastián Schindel","2"
"Javier Ruiz Caldera","2"
"Guy Ritchie","2"
"Ric Roman Waugh","2"
"Simon Wells","2"
"Sachin","2"
"Dharmesh Darshan","2"
"BB Sasore","2"
"Gore Verbinski","2"
"Dominic Sena","2"
"Harold Cronk","2"
