"Type","country","count"
"Action & Adventure","United States","50"
"Action & Adventure","United Kingdom, United States","7"
"Action & Adventure","United Kingdom","7"
"Action & Adventure","Canada","5"
"Action & Adventure","United States, United Kingdom","2"
"Action & Adventure","United States, Canada","2"
"Action & Adventure","Canada, United States","1"
"Action & Adventure","France, United States","1"
"Action & Adventure","Germany, United States, France","1"
"Action & Adventure","United States, Canada, Belgium, United Kingdom","1"
"Action & Adventure","Hong Kong, United States","1"
"Action & Adventure","United States, Russia","1"
"Action & Adventure","United Kingdom, Czech Republic, United States, Germany, Bahamas","1"
"Action & Adventure","Germany, United States","1"
"Action & Adventure","Thailand, Canada, United States","1"
"Action & Adventure","South Africa, China, United States","1"
"Action & Adventure","United States, Bulgaria","1"
"Action & Adventure","United Kingdom, Canada, United States","1"
"Action & Adventure","United States, Japan","1"
"Action & Adventure","United States, France, Serbia","1"
"Action & Adventure","United States, Germany","1"
"Action & Adventure","United States, Mexico","1"
"Action & Adventure","France, Canada, United States","1"
"Action & Adventure","Ireland, United States","1"
"Action & Adventure","United Kingdom, South Korea","1"
"Action & Adventure","Hong Kong","1"
"Action & Adventure","Australia, United States","1"
"Action & Adventure","Bulgaria, United States","1"
"Action & Adventure","United States, South Africa","1"
"Action & Adventure","United States, China, Colombia","1"
"Action & Adventure, Anime Features, Children & Family Movies","Japan","3"
"Action & Adventure, Anime Features, Classic Movies","Japan","1"
"Action & Adventure, Anime Features, Horror Movies","Japan","1"
"Action & Adventure, Anime Features, International Movies","Japan","27"
"Action & Adventure, Anime Features, International Movies","Japan, United States","1"
"Action & Adventure, Anime Features, Sci-Fi & Fantasy","Japan","4"
"Action & Adventure, Anime Features, Sci-Fi & Fantasy","United States, Japan","1"
"Action & Adventure, Children & Family Movies","Denmark, China","1"
"Action & Adventure, Children & Family Movies","United States","1"
"Action & Adventure, Children & Family Movies, Classic Movies","United States","3"
"Action & Adventure, Children & Family Movies, Comedies","United States","3"
"Action & Adventure, Children & Family Movies, Comedies","Canada","1"
"Action & Adventure, Children & Family Movies, Dramas","United Kingdom, United States","1"
"Action & Adventure, Children & Family Movies, Dramas","United Kingdom","1"
"Action & Adventure, Children & Family Movies, Independent Movies","United States","1"
"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy","United States","5"
"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy","Germany, United Kingdom, United States","1"
"Action & Adventure, Classic Movies","United States","1"
"Action & Adventure, Classic Movies","Hong Kong, United States","1"
"Action & Adventure, Classic Movies, Comedies","India","1"
"Action & Adventure, Classic Movies, Comedies","United States","1"
"Action & Adventure, Classic Movies, Comedies","United Kingdom","1"
"Action & Adventure, Classic Movies, Cult Movies","India","1"
"Action & Adventure, Classic Movies, Cult Movies","United States","1"
"Action & Adventure, Classic Movies, Cult Movies","Australia, United States","1"
"Action & Adventure, Classic Movies, Dramas","United States","4"
"Action & Adventure, Classic Movies, Dramas","United States, United Kingdom","2"
"Action & Adventure, Classic Movies, Dramas","Egypt","1"
"Action & Adventure, Classic Movies, International Movies","Italy, United States","1"
"Action & Adventure, Classic Movies, Sci-Fi & Fantasy","United States","1"
"Action & Adventure, Comedies","United States","29"
"Action & Adventure, Comedies","United Kingdom","2"
"Action & Adventure, Comedies","United States, China, Canada","1"
"Action & Adventure, Comedies","China, Hong Kong, United States","1"
"Action & Adventure, Comedies","United States, Canada","1"
