"year","genre","title_count"
"2008","Stand-Up Comedy & Talk Shows","1"
"2008","Dramas, Independent Movies, Thrillers","1"
"2009","Dramas, International Movies","1"
"2009","Horror Movies","1"
"2010","Cult Movies, Horror Movies","1"
"2011","Dramas","8"
"2011","Dramas, Sports Movies","2"
"2011","Dramas, Thrillers","1"
"2011","Children & Family Movies, Dramas, Faith & Spirituality","1"
"2011","Dramas, International Movies","1"
"2012","Documentaries","1"
"2012","Comedies","1"
"2012","Children & Family Movies, Comedies","1"
"2013","Stand-Up Comedy","4"
"2013","Children & Family Movies, Documentaries, Sports Movies","1"
"2013","TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","1"
"2013","Docuseries, Stand-Up Comedy & Talk Shows","1"
"2013","TV Dramas, Teen TV Shows","1"
"2013","Crime TV Shows, International TV Shows, TV Dramas","1"
"2013","Children & Family Movies, Comedies, Music & Musicals","1"
"2013","Crime TV Shows, TV Dramas, TV Thrillers","1"
"2014","Documentaries","5"
"2014","Stand-Up Comedy","4"
"2014","Documentaries, International Movies","2"
"2014","Children & Family Movies, Comedies","2"
"2014","Movies","2"
"2014","Kids' TV, TV Thrillers","1"
"2014","TV Dramas","1"
"2014","Children & Family Movies","1"
"2014","Children & Family Movies, Sci-Fi & Fantasy","1"
"2014","Action & Adventure, Sci-Fi & Fantasy","1"
"2014","TV Comedies, TV Dramas","1"
"2014","Classic & Cult TV, Kids' TV, TV Comedies","1"
"2014","Documentaries, Sports Movies","1"
"2014","Kids' TV","1"
"2014","Crime TV Shows, TV Comedies, TV Dramas","1"
"2015","Stand-Up Comedy","12"
"2015","Kids' TV","6"
"2015","Children & Family Movies","6"
"2015","Kids' TV, TV Comedies","4"
"2015","Documentaries","4"
"2015","Movies","3"
"2015","Children & Family Movies, Comedies","3"
"2015","Documentaries, Music & Musicals","3"
"2015","British TV Shows, Docuseries, Science & Nature TV","3"
"2015","British TV Shows, Docuseries, International TV Shows","2"
"2015","TV Dramas","2"
"2015","Documentaries, International Movies","2"
"2015","TV Comedies, TV Dramas","2"
"2015","TV Comedies","2"
"2015","Dramas, Independent Movies, Sci-Fi & Fantasy","2"
"2015","Dramas, International Movies","2"
"2015","Comedies","1"
"2015","International TV Shows, TV Dramas","1"
"2015","Comedies, Music & Musicals","1"
"2015","TV Comedies, TV Dramas, Teen TV Shows","1"
"2015","Dramas","1"
"2015","Horror Movies, Independent Movies, Thrillers","1"
"2015","TV Horror, TV Mysteries, TV Thrillers","1"
"2015","TV Action & Adventure, TV Dramas","1"
"2015","Documentaries, International Movies, Music & Musicals","1"
